Subject	Factor	Condition	Trial	Score
23	130	419	1	0.7962
23	130	419	2	0.861
23	130	419	3	1.4824
23	130	419	4	0.3278
23	130	419	5	0.3128
23	130	419	6	-0.5048
23	130	419	7	1.2092
23	130	419	8	-0.7281
23	130	419	9	-0.7407
23	130	419	10	2.216
23	130	419	11	0.545
23	130	419	12	0.5992
23	130	419	13	-0.1779
23	130	419	14	0.639
23	130	419	15	1.0098
23	130	419	16	1.9541
23	130	419	17	1.19
23	130	419	18	0.7077
23	130	419	19	0.5689
23	130	419	20	1.7584
23	130	419	21	1.0697
23	130	419	22	1.1103
23	130	419	23	0.083
23	130	419	24	-0.1869
23	130	419	25	0.1849
23	130	419	26	0.5319
23	130	419	27	-2.5319
23	130	419	28	1.5498
23	130	419	29	2.4848
23	130	419	30	0.2951
23	130	419	31	1.2111
23	130	419	32	0.3838
23	130	419	33	1.4843
23	130	419	34	1.5913
23	130	419	35	1.0505
23	130	419	36	0.9836
23	130	419	37	2.0265
23	130	419	38	-0.6822
23	130	438	1	3.5501
23	130	438	2	4.2325
23	130	438	3	5.6314
23	130	438	4	4.3413
23	130	438	5	5.0184
23	130	438	6	5.5
23	130	438	7	3.7535
23	130	438	8	2.8236
23	130	438	9	3.9081
23	130	438	10	6.0003
23	130	438	11	4.8457
23	130	438	12	4.5535
23	130	438	13	5.6043
23	130	438	14	5.5353
23	130	438	15	4.9644
23	130	438	16	3.8588
23	130	438	17	5.3541
23	130	438	18	4.1064
23	130	438	19	3.5099
23	130	438	20	0.1411
23	130	438	21	3.2408
23	130	438	22	3.5826
23	130	438	23	1.3189
23	130	438	24	4.1057
23	130	438	25	3.2282
23	130	438	26	4.569
23	130	438	27	5.5494
23	130	438	28	4.6601
23	130	438	29	3.7467
23	130	438	30	2.2012
23	130	438	31	2.6708
23	130	438	32	2.8419
23	130	438	33	5.6265
23	130	438	34	3.1121
23	130	438	35	3.7995
23	130	438	36	3.7023
23	167	419	1	3.3889
23	167	419	2	2.8188
23	167	419	3	1.0038
23	167	419	4	3.8108
23	167	419	5	0.8025
23	167	419	6	3.5577
23	167	419	7	2.1805
23	167	419	8	2.1407
23	167	419	9	2.0347
23	167	419	10	4.1035
23	167	419	11	3.676
23	167	419	12	1.9856
23	167	419	13	2.2772
23	167	419	14	0.9525
23	167	419	15	1.983
23	167	419	16	3.3452
23	167	419	17	2.7964
23	167	419	18	1.6946
23	167	419	19	3.0045
23	167	419	20	1.0166
23	167	419	21	2.8062
23	167	419	22	2.2161
23	167	419	23	0.8154
23	167	419	24	1.3604
23	167	419	25	2.8575
23	167	419	26	2.1117
23	167	419	27	2.8516
23	167	419	28	3.3317
23	167	419	29	3.3733
23	167	438	1	7.2169
23	167	438	2	6.7373
23	167	438	3	7.7264
23	167	438	4	5.4219
23	167	438	5	5.2422
23	167	438	6	7.6729
23	167	438	7	6.9684
23	167	438	8	5.592
23	167	438	9	6.6157
23	167	438	10	7.9615
23	167	438	11	5.9732
23	167	438	12	6.9976
23	167	438	13	5.3698
23	167	438	14	6.6724
23	167	438	15	6.0987
23	167	438	16	5.8702
23	167	438	17	6.1034
23	167	438	18	6.3672
23	167	438	19	5.6742
23	167	438	20	6.3786
23	167	438	21	6.0767
23	167	438	22	5.8172
23	167	438	23	4.2687
23	167	438	24	7.4413
23	167	438	25	5.1481
23	167	438	26	5.8247
23	167	438	27	7.06
23	167	438	28	6.1811
23	167	438	29	6.8799
23	167	438	30	5.8607
23	167	438	31	5.974
23	167	438	32	5.0103
23	167	438	33	7.3922
9	130	419	1	1.3246
9	130	419	2	-1.2408
9	130	419	3	0.3209
9	130	419	4	-0.1738
9	130	419	5	1.0714
9	130	419	6	1.2942
9	130	419	7	-0.7817
9	130	419	8	0.8709
9	130	419	9	-0.8147
9	130	419	10	0.9432
9	130	419	11	-0.6778
9	130	419	12	0.2035
9	130	419	13	-1.2125
9	130	419	14	-1.5532
9	130	419	15	-2.4128
9	130	419	16	-1.1507
9	130	419	17	0.2031
9	130	419	18	0.1113
9	130	419	19	1.4329
9	130	419	20	0.4353
9	130	419	21	1.0528
9	130	419	22	0.3788
9	130	419	23	-1.5795
9	130	419	24	-0.0566
9	130	419	25	-1.5281
9	130	419	26	-1.1021
9	130	419	27	0.8314
9	130	419	28	0.5218
9	130	419	29	0.9442
9	130	419	30	0.036
9	130	419	31	-0.5242
9	130	419	32	0.4188
9	130	419	33	0.373
9	130	419	34	-1.6541
9	130	419	35	-0.0647
9	130	419	36	0.7529
9	130	419	37	1.5504
9	130	419	38	1.2828
9	130	419	39	2.0103
9	130	438	1	3.2202
9	130	438	2	1.6813
9	130	438	3	3.1781
9	130	438	4	1.7181
9	130	438	5	1.4871
9	130	438	6	2.9614
9	130	438	7	2.9791
9	130	438	8	2.8971
9	130	438	9	3.5654
9	130	438	10	3.5459
9	130	438	11	3.1294
9	130	438	12	1.7667
9	130	438	13	4.6421
9	130	438	14	3.9356
9	130	438	15	1.847
9	130	438	16	5.6195
9	130	438	17	5.3722
9	130	438	18	3.053
9	130	438	19	2.4087
9	130	438	20	2.0136
9	130	438	21	1.6176
9	130	438	22	2.9097
9	130	438	23	2.2359
9	130	438	24	2.1221
9	130	438	25	2.5281
9	130	438	26	2.6199
9	130	438	27	1.3649
9	130	438	28	2.1533
9	130	438	29	5.0738
9	130	438	30	4.8569
9	130	438	31	2.9212
9	130	438	32	0.4865
9	130	438	33	0.8093
9	167	419	1	1.6604
9	167	419	2	0.2827
9	167	419	3	0.8242
9	167	419	4	2.7387
9	167	419	5	1.7942
9	167	419	6	1.8083
9	167	419	7	0.3655
9	167	419	8	2.1921
9	167	419	9	1.3612
9	167	419	10	1.7063
9	167	419	11	0.6082
9	167	419	12	1.7107
9	167	419	13	2.0479
9	167	419	14	0.9766
9	167	419	15	1.8038
9	167	419	16	0.2752
9	167	419	17	2.2954
9	167	419	18	1.2054
9	167	419	19	0.6185
9	167	419	20	0.1491
9	167	419	21	1.4002
9	167	419	22	1.1845
9	167	419	23	1.5975
9	167	419	24	0.6777
9	167	419	25	1.4994
10	130	419	1	3.0542
10	130	419	2	1.751
10	130	419	3	0.8268
