Subject	Factor	Condition	Score
5	1	1	3.566382e+00
5	1	2	4.819113e+00
5	1	3	4.611150e+00
5	1	4	6.369289e+00
5	2	1	6.474786e+00
5	2	2	6.718769e+00
5	2	3	5.091069e+00
5	2	4	4.562922e+00
19	1	1	3.741014e+00
19	1	2	3.604029e+00
19	1	3	4.617846e+00
19	1	4	6.281560e+00
19	2	1	6.446866e+00
19	2	2	6.331142e+00
19	2	3	4.991732e+00
19	2	4	5.077179e+00
4	1	1	3.403616e+00
4	1	2	4.198337e+00
4	1	3	5.274588e+00
4	1	4	6.247028e+00
4	2	1	5.909839e+00
4	2	2	5.749990e+00
4	2	3	5.214941e+00
4	2	4	5.201187e+00
10	1	1	4.137704e+00
10	1	2	4.016214e+00
10	1	3	4.748911e+00
10	1	4	6.010188e+00
10	2	1	6.483597e+00
10	2	2	5.877365e+00
10	2	3	4.858029e+00
10	2	4	5.455272e+00
13	2	3	5.224863e+00
13	1	3	4.641436e+00
23	1	3	5.026708e+00
7	1	1	3.742964e+00
13	2	4	4.628771e+00
7	2	4	4.678523e+00
16	1	1	3.535181e+00
16	1	3	4.635303e+00
13	1	4	6.184841e+00
23	2	2	5.897391e+00
7	1	3	4.398329e+00
16	2	2	6.037485e+00
7	1	2	4.214903e+00
16	1	2	4.052302e+00
13	2	2	5.822793e+00
23	1	1	3.658358e+00
20	1	1	3.656605e+00
20	1	2	4.119114e+00
20	1	3	4.555157e+00
20	1	4	6.130551e+00
20	2	1	6.184016e+00
20	2	2	6.404855e+00
20	2	3	5.170518e+00
20	2	4	4.438191e+00
22	1	1	3.629918e+00
22	1	2	3.972364e+00
22	1	3	4.626784e+00
22	1	4	6.134243e+00
22	2	1	5.736070e+00
22	2	2	5.803759e+00
22	2	3	4.764675e+00
22	2	4	4.690511e+00
23	1	2	3.697911e+00
23	1	4	6.735462e+00
13	2	1	5.473267e+00
7	2	1	6.156043e+00
16	2	3	5.384489e+00
23	2	1	5.908874e+00
7	2	2	5.572327e+00
13	1	2	3.827760e+00
6	1	1	3.413998e+00
6	1	2	4.179405e+00
6	1	3	4.626340e+00
6	1	4	5.665779e+00
6	2	1	5.295828e+00
6	2	2	5.385921e+00
6	2	3	4.928862e+00
6	2	4	4.614112e+00
18	1	1	3.283952e+00
18	1	2	4.012197e+00
18	1	3	4.502306e+00
18	1	4	6.010845e+00
18	2	1	6.182888e+00
18	2	2	6.134700e+00
18	2	3	5.730975e+00
18	2	4	4.890722e+00
7	2	3	4.932262e+00
23	2	4	5.160976e+00
16	2	1	6.010106e+00
16	1	4	6.154217e+00
13	1	1	3.517496e+00
23	2	3	5.151991e+00
16	2	4	4.986027e+00
7	1	4	6.330196e+00
