Subject	Factor	Condition	Trial	Score
6	1	1	1	1.5205
6	1	1	2	1.0300
6	1	1	3	0.7588
6	1	1	4	2.3115
6	1	1	5	2.8984
6	1	1	6	0.5125
6	1	1	7	1.1385
6	1	1	8	0.2274
6	1	1	9	1.7155
6	1	1	10	-1.3296
6	1	1	11	2.0251
6	1	1	12	1.2539
6	1	1	13	1.2967
6	1	1	14	2.2485
6	1	1	15	0.7604
6	1	1	16	0.9019
6	1	1	17	-0.2355
6	1	1	18	-0.6286
6	1	1	19	0.3315
6	1	1	20	1.3159
6	1	1	21	0.4938
6	1	1	22	-0.2985
6	1	1	23	2.1077
6	1	1	24	0.3229
6	1	1	25	1.0237
6	1	1	26	1.0342
6	1	1	27	0.7856
6	1	1	28	1.4316
6	1	1	29	0.7710
6	1	1	30	-0.6290
6	1	2	1	2.6312
6	1	2	2	3.9033
6	1	2	3	2.4036
6	1	2	4	3.3130
6	1	2	5	2.7188
6	1	2	6	2.4856
6	1	2	7	2.6390
6	1	2	8	3.2585
6	1	2	9	3.8339
6	1	2	10	3.5441
6	1	2	11	4.7243
6	1	2	12	3.4148
6	1	2	13	2.1426
6	1	2	14	3.6699
6	1	2	15	3.7316
6	1	2	16	3.9767
6	1	2	17	4.1600
6	1	2	18	4.9383
6	1	2	19	3.1124
6	1	2	20	3.9210
6	1	2	21	3.6470
6	1	2	22	3.0799
6	1	2	23	5.7965
6	1	2	24	3.4026
6	1	2	25	2.2507
6	1	2	26	5.4303
6	1	2	27	3.9857
6	1	2	28	2.5411
6	1	2	29	4.2805
6	1	2	30	4.9300
6	2	1	1	0.4727
6	2	1	2	1.5039
6	2	1	3	1.2297
6	2	1	4	0.2053
6	2	1	5	2.5524
6	2	1	6	1.3533
6	2	1	7	1.9049
6	2	1	8	0.6523
6	2	1	9	0.7132
6	2	1	10	1.6831
6	2	1	11	1.4755
6	2	1	12	3.2169
6	2	1	13	1.0936
6	2	1	14	3.5813
6	2	1	15	2.8772
6	2	1	16	-0.5764
6	2	1	17	-0.3118
6	2	1	18	0.7952
6	2	1	19	1.1829
6	2	1	20	1.3777
6	2	1	21	2.2057
6	2	1	22	0.6464
6	2	1	23	0.6472
