Subject	Factor	Condition	Trial	Score
23	1	1	1	0.7962
23	1	1	2	0.8610
23	1	1	3	1.4824
23	1	1	4	0.3278
23	1	1	5	0.3128
23	1	1	6	-0.5048
23	1	1	7	1.2092
23	1	1	8	-0.7281
23	1	1	9	-0.7407
23	1	1	10	2.2160
23	1	1	11	0.5450
23	1	1	12	0.5992
23	1	1	13	-0.1779
23	1	1	14	0.6390
23	1	1	15	1.0098
23	1	1	16	1.9541
23	1	1	17	1.1900
23	1	1	18	0.7077
23	1	1	19	0.5689
23	1	1	20	1.7584
23	1	1	21	1.0697
23	1	1	22	1.1103
23	1	1	23	0.0830
23	1	1	24	-0.1869
23	1	1	25	0.1849
23	1	1	26	0.5319
23	1	1	27	-2.5319
23	1	1	28	1.5498
23	1	1	29	2.4848
23	1	1	30	0.2951
23	1	1	31	1.2111
23	1	1	32	0.3838
23	1	1	33	1.4843
23	1	1	34	1.5913
23	1	1	35	1.0505
23	1	1	36	0.9836
23	1	1	37	2.0265
23	1	1	38	-0.6822
23	1	2	1	3.5501
23	1	2	2	4.2325
23	1	2	3	5.6314
23	1	2	4	4.3413
23	1	2	5	5.0184
23	1	2	6	5.5000
23	1	2	7	3.7535
23	1	2	8	2.8236
23	1	2	9	3.9081
23	1	2	10	6.0003
23	1	2	11	4.8457
23	1	2	12	4.5535
23	1	2	13	5.6043
23	1	2	14	5.5353
23	1	2	15	4.9644
23	1	2	16	3.8588
23	1	2	17	5.3541
23	1	2	18	4.1064
23	1	2	19	3.5099
23	1	2	20	0.1411
23	1	2	21	3.2408
23	1	2	22	3.5826
23	1	2	23	1.3189
23	1	2	24	4.1057
23	1	2	25	3.2282
23	1	2	26	4.5690
23	1	2	27	5.5494
23	1	2	28	4.6601
23	1	2	29	3.7467
23	1	2	30	2.2012
23	1	2	31	2.6708
23	1	2	32	2.8419
23	1	2	33	5.6265
23	1	2	34	3.1121
23	1	2	35	3.7995
23	1	2	36	3.7023
23	2	1	1	3.3889
23	2	1	2	2.8188
23	2	1	3	1.0038
23	2	1	4	3.8108
23	2	1	5	0.8025
23	2	1	6	3.5577
23	2	1	7	2.1805
23	2	1	8	2.1407
23	2	1	9	2.0347
23	2	1	10	4.1035
23	2	1	11	3.6760
23	2	1	12	1.9856
23	2	1	13	2.2772
23	2	1	14	0.9525
23	2	1	15	1.9830
23	2	1	16	3.3452
23	2	1	17	2.7964
23	2	1	18	1.6946
23	2	1	19	3.0045
23	2	1	20	1.0166
23	2	1	21	2.8062
23	2	1	22	2.2161
23	2	1	23	0.8154
23	2	1	24	1.3604
23	2	1	25	2.8575
23	2	1	26	2.1117
23	2	1	27	2.8516
23	2	1	28	3.3317
23	2	1	29	3.3733
23	2	2	1	7.2169
23	2	2	2	6.7373
23	2	2	3	7.7264
23	2	2	4	5.4219
23	2	2	5	5.2422
23	2	2	6	7.6729
23	2	2	7	6.9684
23	2	2	8	5.5920
23	2	2	9	6.6157
23	2	2	10	7.9615
23	2	2	11	5.9732
23	2	2	12	6.9976
23	2	2	13	5.3698
23	2	2	14	6.6724
23	2	2	15	6.0987
23	2	2	16	5.8702
23	2	2	17	6.1034
23	2	2	18	6.3672
23	2	2	19	5.6742
23	2	2	20	6.3786
23	2	2	21	6.0767
23	2	2	22	5.8172
23	2	2	23	4.2687
23	2	2	24	7.4413
23	2	2	25	5.1481
23	2	2	26	5.8247
23	2	2	27	7.0600
23	2	2	28	6.1811
23	2	2	29	6.8799
23	2	2	30	5.8607
23	2	2	31	5.9740
23	2	2	32	5.0103
23	2	2	33	7.3922
9	1	1	1	1.3246
9	1	1	2	-1.2408
9	1	1	3	0.3209
9	1	1	4	-0.1738
9	1	1	5	1.0714
9	1	1	6	1.2942
9	1	1	7	-0.7817
9	1	1	8	0.8709
9	1	1	9	-0.8147
9	1	1	10	0.9432
9	1	1	11	-0.6778
9	1	1	12	0.2035
9	1	1	13	-1.2125
9	1	1	14	-1.5532
9	1	1	15	-2.4128
9	1	1	16	-1.1507
9	1	1	17	0.2031
9	1	1	18	0.1113
9	1	1	19	1.4329
9	1	1	20	0.4353
9	1	1	21	1.0528
9	1	1	22	0.3788
9	1	1	23	-1.5795
9	1	1	24	-0.0566
9	1	1	25	-1.5281
9	1	1	26	-1.1021
9	1	1	27	0.8314
9	1	1	28	0.5218
9	1	1	29	0.9442
9	1	1	30	0.0360
9	1	1	31	-0.5242
9	1	1	32	0.4188
9	1	1	33	0.3730
9	1	1	34	-1.6541
9	1	1	35	-0.0647
9	1	1	36	0.7529
9	1	1	37	1.5504
9	1	1	38	1.2828
9	1	1	39	2.0103
9	1	2	1	3.2202
9	1	2	2	1.6813
9	1	2	3	3.1781
9	1	2	4	1.7181
9	1	2	5	1.4871
9	1	2	6	2.9614
9	1	2	7	2.9791
9	1	2	8	2.8971
9	1	2	9	3.5654
9	1	2	10	3.5459
9	1	2	11	3.1294
9	1	2	12	1.7667
9	1	2	13	4.6421
9	1	2	14	3.9356
9	1	2	15	1.8470
9	1	2	16	5.6195
9	1	2	17	5.3722
9	1	2	18	3.0530
9	1	2	19	2.4087
9	1	2	20	2.0136
9	1	2	21	1.6176
9	1	2	22	2.9097
9	1	2	23	2.2359
9	1	2	24	2.1221
9	1	2	25	2.5281
9	1	2	26	2.6199
9	1	2	27	1.3649
9	1	2	28	2.1533
9	1	2	29	5.0738
9	1	2	30	4.8569
9	1	2	31	2.9212
9	1	2	32	0.4865
9	1	2	33	0.8093
9	2	1	1	1.6604
9	2	1	2	0.2827
9	2	1	3	0.8242
9	2	1	4	2.7387
9	2	1	5	1.7942
9	2	1	6	1.8083
9	2	1	7	0.3655
9	2	1	8	2.1921
9	2	1	9	1.3612
9	2	1	10	1.7063
9	2	1	11	0.6082
9	2	1	12	1.7107
9	2	1	13	2.0479
9	2	1	14	0.9766
9	2	1	15	1.8038
9	2	1	16	0.2752
9	2	1	17	2.2954
9	2	1	18	1.2054
9	2	1	19	0.6185
9	2	1	20	0.1491
9	2	1	21	1.4002
9	2	1	22	1.1845
9	2	1	23	1.5975
